Wait for minimal value to start logging...
13,1379
219,1049
426,1076
633,2053
839,2696
1046,2835
1252,2527
1460,20791
1667,83053
1873,153958
2080,213868
2286,263608
2494,296898
2701,322234
2907,341657
3114,355612
3321,366217
3527,374479
3735,380333
3941,384768
4148,388414
4355,390804
4561,392612
4768,394363
4975,395216
5182,395832
5389,396814
5595,397095
5802,397227
6010,397834
6216,397854
6423,397718
6629,398159
6836,398065
7044,397860
7250,398247
7457,398172
7663,398001
7870,398153
8077,397510
8284,397165
8491,397415
8698,397967
8904,397471
9111,397937
9318,398319
9525,391446
9732,341182
9938,256771
10145,189774
10353,141739
10559,105467
10766,76919
10972,58503
11179,45132
11386,34553
11592,22830
11800,27783
12006,21813
12213,18857
12420,14255
12626,10772
12834,8190
13040,6230
13247,4731
13454,3624
13660,2800
13867,2191
14075,1745
14281,1357
14488,1028
14694,865
14901,713
15108,591
15315,575
15522,490
15729,435
15935,447
16142,406
16348,370
16556,377
16763,372
16969,354
17176,329
17382,384
17590,363
17797,402
18003,410
18210,411
18416,442
18623,407
18831,380
19037,347
19244,325
19451,302
19657,303
19865,282
20071,313
20278,393
20485,318
20691,347
20898,394
21105,348
